        c12         c13         c14 
  3.8439999   5.0710011   6.0419998 
  4.1210003   5.5809994   6.6369991 
  3.5629997   4.7019997   5.7259998 
  3.2570000   4.2660007   5.2649994 
  3.5380001   4.7040005   5.7049999 
  5.1770000   7.2119999   8.2909985 
  3.8899994   5.6449986   6.5679989 
  5.0719986   6.9060001   7.9499989 
  4.8700008   6.8570004   7.9009991 
  3.1009998   4.2089996   5.1659985 
  4.6300011   6.4500008   7.5000000 
  4.4969997   6.0509987   7.0939999 
  4.2530003   5.8199997   6.8999996 
  4.3260002   5.9099998   6.9300003 
  3.7240009   5.2070007   6.1910000 
  3.5909996   4.7919998   5.7880001 
  4.2320004   5.7600002   6.7989998 
  5.2049999   7.2950001   8.3400002 
  4.5850010   6.2410011   7.2730007 
  3.9580002   5.3950005   6.4190006 
  4.3230000   5.9319992   7.0450001 
  4.1789989   5.7539997   6.7899990 
  4.2810001   5.6660004   6.7479992 
  3.4740009   4.7000008   5.6870003 
  3.0520000   4.0939999   5.0569992 
  4.3570004   5.8080006   6.9040012 
  4.5310001   6.0900002   7.1409988 
  3.8640003   5.4589996   6.4829998 
  3.4720001   4.7180004   5.7390003 
  4.5580006   6.2300014   7.2270012 
  4.8619995   6.7000008   7.7290001 
  3.6529999   5.0989990   6.1029987 
  4.5279999   6.2910004   7.2890015 
  3.9360008   5.3409996   6.3810005 
  3.2379990   4.3309994   5.3409996 
  4.1990013   5.6670017   6.6900005 
  3.6860008   4.9799995   6.0559998 
  4.3570004   5.9010010   6.9620018 
  3.8419991   5.3589993   6.4050007 
  4.4500008   5.9110012   6.9770012 
  2.4890003   3.3199997   4.1730003 
  3.6849995   4.9099998   5.8719997 
  3.7319984   4.9289989   5.9289989 
  4.1960011   5.5380001   6.5170002 
  5.2209988   7.5129986   8.6350002 
  4.1480007   5.8250008   6.8260002 
  3.3160000   4.3949986   5.3789997 
  4.3570004   5.9250011   6.9390011 
  4.3280010   5.7940006   6.9080009 
  3.9829998   5.3470001   6.3759995 
  3.7150002   4.9029999   5.9039993 
  3.5830002   4.6929989   5.6669998 
  4.5949993   6.6709995   7.7309990 
  4.0920010   5.7070007   6.7030010 
  4.1819992   5.7679996   6.7950001 
  4.3750000   5.8740005   6.9010010 
  4.3239994   5.9059982   6.9219990 
  3.5960007   4.8339996   5.8560009 
  3.8859997   5.2819996   6.2899990 
  4.1389999   5.8040009   6.8409996 
  4.0760002   5.5750008   6.6780014 
  4.4249992   6.0569992   7.1030006 
  3.9959984   5.4569988   6.4599991 
  4.0830002   5.7759991   6.7929993 
